Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_0,BusinessTravel_1,BusinessTravel_2,Department_0,Department_1,Department_2,EducationField_0,EducationField_1,EducationField_2,EducationField_3,EducationField_4,EducationField_5,Gender_0,Gender_1,JobRole_0,JobRole_1,JobRole_2,JobRole_3,JobRole_4,JobRole_5,JobRole_6,JobRole_7,JobRole_8,MaritalStatus_0,MaritalStatus_1,MaritalStatus_2,OverTime_0,OverTime_1,Expected_tenure
31.0,174.98000000000002,26.0,1.0,1.0,31.0,3.0,1.0,3.0,435.9000000000001,12694.9,1.0,17.0,3.0,4.0,1.0,5.0,3.4751,2.0,5.0,4.0,3.0,0.0,0.49502,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.1262259176217095
34.0,160.0999999999999,19.0,2.0,2.0,93.0,3.0,1.0,4.0,684.5,6781.5,0.0,11.0,3.0,3.0,1.0,3.0,3.9764999999999997,3.0,2.0,1.0,2.0,0.0,0.3953,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.3599557309751233
29.0,286.44000000000005,21.0,4.0,2.0,51.0,4.0,3.0,1.0,7223.6,7438.6,1.0,11.0,3.0,3.0,1.0,10.0,3.7564,3.0,10.0,8.0,8.0,0.0,0.55128,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.875
32.0,334.0,5.0,2.0,1.0,80.0,4.0,1.0,2.0,603.1999999999998,11684.5,0.0,12.0,3.0,4.0,2.0,7.0,6.3474,2.0,6.0,0.0,5.0,0.0,0.6737,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.040951431360002
22.0,187.72000000000003,16.0,2.0,4.0,96.0,4.0,1.0,4.0,596.8000000000002,4985.8,1.0,13.0,3.0,2.0,2.0,1.0,4.3382000000000005,2.0,1.0,0.0,0.0,1.0,0.46764,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
53.0,1219.0,2.0,4.0,1.0,78.0,2.0,4.0,4.0,11260.3,17854.3,2.0,16.0,3.0,3.0,0.666672,31.0,3.0,3.0,25.0,3.0,7.0,0.0,0.83334,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.359080094712255
38.0,138.58,2.0,3.0,4.0,45.0,3.0,1.0,4.0,2781.9,3143.9,5.0,11.0,3.0,3.0,0.046484,6.0,4.1621,3.0,3.0,1.0,2.0,0.0,0.23242,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
24.0,214.68,11.0,2.0,1.0,96.0,4.0,2.0,3.0,1719.4,5940.4,0.0,18.0,3.0,4.0,1.0,5.0,6.83328,2.0,4.0,1.0,3.0,1.0,0.45832,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.036924522657824
34.0,419.0,7.0,4.0,1.0,53.0,3.0,3.0,2.0,8223.4,17522.4,0.0,11.0,3.0,3.0,0.603296,13.0,4.0,3.0,12.0,2.0,11.0,0.0,0.75412,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0
21.0,391.0,15.0,2.0,3.0,96.0,3.0,1.0,4.0,155.83999999999992,16590.6,1.0,14.0,3.0,4.0,0.107616,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.53808,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.02
53.0,499.78,5.0,3.0,3.0,58.0,3.0,5.0,3.0,15182.9,6823.9,4.0,11.0,3.0,4.0,1.0,26.0,6.911099999999999,2.0,14.0,4.0,8.0,0.0,0.78222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0
42.0,691.0,8.0,4.0,3.0,48.0,3.0,2.0,2.0,3256.1,17604.1,0.0,11.0,3.0,4.0,1.0,10.0,5.5689,3.0,9.0,4.0,2.0,0.0,0.571024,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0
44.0,40.620000000000005,7.0,4.0,1.0,42.0,2.0,3.0,4.0,8066.1,348.48,3.0,14.0,3.0,4.0,1.0,24.0,6.181900000000001,3.0,22.0,5.0,17.0,0.0,0.349104,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0
46.0,705.0,2.0,4.0,2.0,83.0,3.0,5.0,1.0,18947.0,22822.0,3.0,12.0,3.0,4.0,0.0,22.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0
33.0,400.4,2.0,3.0,3.0,78.0,3.0,1.0,4.0,1448.8,6146.4,4.0,11.0,3.0,4.0,0.2618,7.0,2.4764,3.0,1.0,0.0,0.0,0.0,0.2618,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
44.0,177.20000000000005,10.0,4.0,4.0,41.0,3.0,2.0,4.0,3260.5,15916.5,2.0,13.0,3.0,4.0,0.38454,9.0,5.0,4.0,4.0,1.0,3.0,0.0,0.6409,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0
30.0,125.0,9.0,2.0,4.0,83.0,2.0,1.0,3.0,330.1600000000001,13772.2,1.0,13.0,3.0,1.0,0.281376,10.0,5.0,3.0,10.0,1.0,8.0,0.0,0.46896,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
43.0,496.17999999999995,2.0,2.0,4.0,72.0,4.0,1.0,3.0,314.53999999999996,18038.9,1.0,12.0,3.0,4.0,2.0,6.0,6.8841,2.0,5.0,1.0,4.0,0.0,0.466092,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0255813889780545
35.0,578.1800000000001,2.0,3.0,4.0,97.0,3.0,1.0,4.0,454.9000000000001,8439.72,1.0,13.0,3.0,1.0,0.0,2.0,4.5591,3.0,2.0,2.0,2.0,0.0,0.31182,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.036655045901954
36.0,345.14,5.0,4.0,2.0,82.0,2.0,1.0,1.0,884.6999999999998,10537.7,9.0,14.0,3.0,4.0,1.0,6.0,5.5343,4.0,1.0,0.0,0.0,0.0,0.50686,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
33.0,32.59999999999991,1.0,3.0,3.0,42.0,4.0,2.0,1.0,2605.0,422.0,2.0,19.0,3.0,1.0,2.0,10.0,5.771,3.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0
35.0,37.5,4.0,2.0,3.0,75.0,3.0,1.0,4.0,245.0,8777.5,1.0,12.0,3.0,3.0,1.0,1.0,5.1325,3.0,1.0,0.0,0.0,0.0,0.3412,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.03
27.0,554.08,2.0,4.0,4.0,33.0,3.0,1.0,1.0,283.2399999999998,16285.4,1.0,13.0,3.0,4.0,1.0,1.0,6.68592,3.0,1.0,0.0,0.0,0.0,0.68592,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05
27.0,286.20000000000005,8.0,3.0,4.0,37.0,3.0,3.0,3.0,6956.5,1205.5,1.0,15.0,3.0,4.0,0.3539,9.0,1.7695,3.0,9.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0
30.0,270.74,1.0,2.0,3.0,58.0,3.0,2.0,4.0,1759.6999999999998,8529.7,1.0,23.0,4.0,4.0,0.45026,12.0,4.2513000000000005,3.0,12.0,3.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.25
34.0,1065.0,23.0,4.0,2.0,72.0,3.0,2.0,3.0,4568.0,10034.0,0.0,20.0,4.0,3.0,0.0,10.0,2.0,3.0,9.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0
37.0,114.86000000000001,19.0,2.0,2.0,73.0,3.0,1.0,2.0,1556.3,8761.3,4.0,21.0,4.0,1.0,0.234512,8.0,2.17256,3.0,1.0,0.0,0.0,0.0,0.175884,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
46.0,482.44000000000005,5.0,4.0,1.0,98.0,3.0,2.0,4.0,2129.2,16802.2,4.0,21.0,4.0,3.0,0.72856,14.0,6.9142399999999995,3.0,9.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0
35.0,1229.0,8.0,1.0,4.0,36.0,4.0,1.0,4.0,2269.0,4892.0,1.0,19.0,3.0,4.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.006201174092998363
44.0,51.92000000000007,1.0,5.0,2.0,75.0,3.0,2.0,1.0,3658.9,2213.9,5.0,21.0,4.0,3.0,1.0,9.0,3.7950999999999997,2.0,4.0,1.0,3.0,0.0,0.35902,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.12
35.0,5.680000000000064,11.0,2.0,3.0,79.0,2.0,3.0,1.0,7155.7,5573.7,2.0,13.0,3.0,3.0,1.0,10.0,5.7283,3.0,4.0,2.0,3.0,1.0,0.54566,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0
26.0,81.55999999999995,23.0,3.0,3.0,47.0,2.0,2.0,4.0,753.4000000000001,18032.4,7.0,19.0,3.0,3.0,1.0,5.0,5.4036,2.0,2.0,0.0,0.0,0.0,0.68072,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
33.0,515.0,1.0,2.0,1.0,98.0,3.0,3.0,4.0,9946.1,11634.1,1.0,12.0,3.0,3.0,0.561904,15.0,4.5119,3.0,15.0,8.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
35.0,173.94000000000005,18.0,5.0,2.0,71.0,3.0,3.0,1.0,5673.7,7635.7,1.0,22.0,4.0,4.0,1.0,9.0,6.395300000000001,2.0,9.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0
35.0,558.84,23.0,4.0,3.0,30.0,3.0,1.0,1.0,1098.1999999999998,13086.2,3.0,15.0,3.0,3.0,1.0,4.0,5.9158,3.0,2.0,2.0,2.0,0.0,0.58316,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0114097498535903
31.0,173.04000000000002,7.0,4.0,4.0,48.0,3.0,2.0,4.0,3505.2,7118.2,3.0,22.0,4.0,4.0,1.0,10.0,5.409800000000001,2.0,7.0,1.0,7.0,0.0,0.48196,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0
37.0,107.17999999999995,1.0,4.0,1.0,51.0,2.0,2.0,3.0,4313.3,1009.3,1.0,18.0,3.0,3.0,1.0,7.0,3.6797,4.0,7.0,0.0,7.0,0.0,0.33594,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.55
32.0,427.0,1.0,3.0,1.0,33.0,3.0,2.0,4.0,3615.4,8330.4,1.0,22.0,4.0,2.0,1.0,9.0,5.5466,3.0,9.0,7.0,8.0,0.0,0.407456,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0
38.0,32.39999999999998,29.0,5.0,4.0,50.0,3.0,2.0,4.0,854.5,3904.5,1.0,11.0,3.0,4.0,0.3103,10.0,3.5515,3.0,10.0,9.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0
50.0,120.39999999999998,7.0,2.0,2.0,43.0,2.0,5.0,3.0,14397.0,12358.0,5.0,12.0,3.0,4.0,1.0,29.0,6.343,2.0,27.0,13.0,8.0,0.0,0.8686,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0
59.0,857.96,25.0,3.0,1.0,99.0,3.0,3.0,1.0,6194.4,911.4000000000001,7.0,11.0,3.0,4.0,0.115408,28.0,4.4426000000000005,2.0,21.0,7.0,9.0,0.0,0.28852,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0
36.0,492.58000000000004,8.0,3.0,3.0,59.0,3.0,3.0,3.0,6443.9,4549.9,1.0,13.0,3.0,2.0,3.0,17.0,5.6521,3.0,17.0,12.0,8.0,0.0,0.73042,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0
55.0,836.0,8.0,3.0,4.0,33.0,3.0,4.0,3.0,9523.8,14497.8,2.0,14.0,3.0,3.0,3.0,21.0,6.18576,3.0,5.0,0.0,2.0,0.0,0.837152,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
36.0,428.0,11.0,3.0,2.0,95.0,2.0,2.0,2.0,2664.0,18821.0,1.0,13.0,3.0,3.0,0.767,6.0,6.835,3.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.75
45.0,602.0,7.0,3.0,2.0,59.0,3.0,3.0,1.0,6039.0,15102.0,2.0,17.0,3.0,3.0,1.0,25.0,5.6850000000000005,3.0,1.0,0.0,0.0,0.0,0.737,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
35.0,249.48000000000002,1.0,3.0,2.0,79.0,3.0,1.0,1.0,121.40000000000009,3795.4,4.0,13.0,3.0,4.0,1.0,5.0,4.0725999999999996,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.12
59.0,457.67999999999995,1.0,1.0,1.0,57.0,2.0,2.0,3.0,1636.4,20831.4,7.0,11.0,3.0,4.0,0.76732,20.0,5.8366,2.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.194559475644737
29.0,308.78,2.0,3.0,3.0,76.0,3.0,1.0,2.0,1004.3,3257.3,0.0,23.0,4.0,4.0,1.0,6.0,4.6987000000000005,3.0,5.0,0.0,4.0,0.0,0.33974,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.125
31.0,1082.0,1.0,4.0,3.0,87.0,3.0,1.0,2.0,2501.0,18775.0,1.0,17.0,3.0,2.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.16444611708291
32.0,5.720000000000027,1.0,3.0,2.0,66.0,3.0,2.0,2.0,3508.6,4634.6,1.0,17.0,3.0,2.0,2.0,10.0,5.711399999999999,3.0,10.0,0.0,9.0,0.0,0.54228,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0
36.0,132.0,6.0,3.0,2.0,55.0,4.0,1.0,4.0,220.80000000000018,19748.239999999998,3.0,12.0,3.0,2.0,0.0,5.0,5.8172,3.0,1.0,0.0,0.0,0.0,0.450752,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0478457434292343
